IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
144.21.63.164,443,443,true,FRA,Europe,DE,Frankfurt,196,8.07
144.21.42.90,443,443,true,FRA,Europe,DE,Frankfurt,298,8.02
143.47.234.131,443,443,true,FRA,Europe,DE,Frankfurt,320,8.01
79.72.74.100,443,443,true,FRA,Europe,DE,Frankfurt,266,7.96
130.162.187.134,443,443,true,FRA,Europe,DE,Frankfurt,243,7.93
84.235.169.134,443,443,true,FRA,Europe,DE,Frankfurt,282,7.93
130.162.36.147,443,443,true,FRA,Europe,DE,Frankfurt,360,7.91
138.2.136.77,443,443,true,CDG,Europe,FR,Paris,247,7.89
130.162.241.59,443,443,true,FRA,Europe,DE,Frankfurt,264,7.89
193.123.38.208,443,443,true,FRA,Europe,DE,Frankfurt,504,7.88
141.148.242.241,443,443,true,FRA,Europe,DE,Frankfurt,382,7.84
158.101.216.252,443,443,true,FRA,Europe,DE,Frankfurt,334,7.82
144.21.49.171,443,443,true,FRA,Europe,DE,Frankfurt,281,7.80
138.2.158.39,443,443,true,CDG,Europe,FR,Paris,309,7.80
132.226.132.68,443,443,true,FRA,Europe,DE,Frankfurt,357,7.79
152.70.50.93,443,443,true,FRA,Europe,DE,Frankfurt,295,7.78
138.2.154.237,443,443,true,FRA,Europe,DE,Frankfurt,298,7.77
144.24.161.47,443,443,true,FRA,Europe,DE,Frankfurt,221,7.77
84.235.171.139,443,443,true,FRA,Europe,DE,Frankfurt,344,7.74
143.47.178.70,443,443,true,FRA,Europe,DE,Frankfurt,366,7.74
140.84.179.114,443,443,true,DFW,North America,US,Dallas,357,7.67
143.47.228.63,443,443,true,FRA,Europe,DE,Frankfurt,430,7.67
193.123.34.125,443,443,true,FRA,Europe,DE,Frankfurt,449,7.65
84.235.164.135,443,443,true,FRA,Europe,DE,Frankfurt,251,7.64
141.148.237.108,443,443,true,FRA,Europe,DE,Frankfurt,420,7.63
143.47.242.199,443,443,true,EWR,North America,US,Newark,260,7.63
158.180.59.120,443,443,true,FRA,Europe,DE,Frankfurt,302,7.62
79.72.73.154,443,443,true,FRA,Europe,DE,Frankfurt,184,7.62
132.145.91.171,8443,443,true,ICN,Asia Pacific,KR,Seoul,217,7.60
143.47.232.11,443,443,true,FRA,Europe,DE,Frankfurt,272,7.56
143.47.235.96,443,443,true,FRA,Europe,DE,Frankfurt,422,7.56
143.47.186.12,443,443,true,FRA,Europe,DE,Frankfurt,282,7.55
141.148.232.229,443,443,true,FRA,Europe,DE,Frankfurt,356,7.55
89.168.113.140,443,443,true,FRA,Europe,DE,Frankfurt,266,7.53
150.230.21.221,443,443,true,FRA,Europe,DE,Frankfurt,269,7.52
143.47.182.32,443,443,true,OTP,Europe,RO,Bucharest,338,7.50
89.168.89.66,443,443,true,FRA,Europe,DE,Frankfurt,177,7.50
141.147.111.166,443,443,true,FRA,Europe,DE,Frankfurt,352,7.48
84.235.169.87,443,443,true,FRA,Europe,DE,Frankfurt,209,7.48
130.162.183.134,443,443,true,CDG,Europe,FR,Paris,311,7.48
130.162.226.81,443,443,true,FRA,Europe,DE,Frankfurt,270,7.46
130.61.107.238,8443,443,true,FRA,Europe,DE,Frankfurt,247,7.42
89.168.95.239,443,443,true,FRA,Europe,DE,Frankfurt,208,7.41
141.147.25.175,443,443,true,FRA,Europe,DE,Frankfurt,223,7.38
150.230.115.181,443,443,true,FRA,Europe,DE,Frankfurt,325,7.33
158.101.204.81,443,443,true,FRA,Europe,DE,Frankfurt,329,7.29
143.47.181.158,443,443,true,FRA,Europe,DE,Frankfurt,271,7.28
89.168.108.55,443,443,true,FRA,Europe,DE,Frankfurt,167,7.26
152.70.50.143,443,443,true,FRA,Europe,DE,Frankfurt,370,7.26
141.147.61.116,2053,443,true,FRA,Europe,DE,Frankfurt,292,7.25
