IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
20.217.216.51,8443,443,true,VIE,Europe,AT,Vienna,346,11.54
20.217.216.51,2053,443,true,VIE,Europe,AT,Vienna,346,11.31
4.219.15.140,2053,443,true,CPH,Europe,DK,Copenhagen,199,11.08
20.240.254.247,2053,443,true,ARN,Europe,SE,Stockholm,382,11.06
51.145.238.40,8443,443,true,AMS,Europe,NL,Amsterdam,237,10.75
4.255.56.138,443,443,true,IAD,North America,US,Ashburn,338,10.65
4.255.56.137,443,443,true,IAD,North America,US,Ashburn,310,10.62
158.23.168.120,443,443,true,DFW,North America,US,Dallas,313,10.60
4.221.60.243,2053,443,true,JNB,Africa,ZA,Johannesburg,254,10.56
172.191.132.64,443,443,true,IAD,North America,US,Ashburn,320,10.56
4.221.60.243,8443,443,true,JNB,Africa,ZA,Johannesburg,238,10.53
4.219.15.140,8443,443,true,CPH,Europe,DK,Copenhagen,195,10.41
4.182.90.213,443,443,true,FRA,Europe,DE,Frankfurt,311,10.24
51.140.85.89,8443,443,true,LHR,Europe,GB,London,451,10.18
20.62.202.159,443,443,true,IAD,North America,US,Ashburn,324,9.90
20.127.201.36,443,443,true,IAD,North America,US,Ashburn,302,9.82
48.217.34.120,443,443,true,IAD,North America,US,Ashburn,373,9.72
20.221.32.145,443,443,true,ORD,North America,US,Chicago,348,9.69
13.67.136.12,443,443,true,ORD,North America,US,Chicago,383,9.42
74.249.233.213,443,443,true,ORD,North America,US,Chicago,199,9.24
20.25.205.37,8443,443,true,ORD,North America,US,Chicago,472,8.76
158.23.81.224,2053,443,true,DFW,North America,US,Dallas,281,8.69
20.246.127.166,443,443,true,IAD,North America,US,Ashburn,336,8.51
158.23.81.224,8443,443,true,DFW,North America,US,Dallas,252,8.48
20.200.127.8,8443,443,true,YYZ,North America,CA,Toronto,234,8.45
20.121.115.188,443,443,true,IAD,North America,US,Ashburn,359,8.43
20.25.205.37,2053,443,true,ORD,North America,US,Chicago,420,8.39
13.68.186.91,443,443,true,IAD,North America,US,Ashburn,369,8.34
20.62.172.88,443,443,true,IAD,North America,US,Ashburn,403,8.33
40.87.50.39,443,443,true,IAD,North America,US,Ashburn,439,8.21
20.109.23.42,443,443,true,IAD,North America,US,Ashburn,452,8.20
20.83.156.0,443,443,true,IAD,North America,US,Ashburn,265,8.18
20.220.29.122,8443,443,true,YYZ,North America,CA,Toronto,320,8.04
20.228.249.211,2053,443,true,IAD,North America,US,Ashburn,428,7.98
20.220.29.122,2053,443,true,YYZ,North America,CA,Toronto,377,7.93
20.151.60.161,8443,443,true,YYZ,North America,CA,Toronto,509,7.86
40.79.73.114,8443,443,true,IAD,North America,US,Ashburn,338,7.85
172.177.248.69,8443,443,true,IAD,North America,US,Ashburn,305,7.72
