IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
79.76.114.244,443,443,true,FRA,Europe,DE,Frankfurt,293,8.78
141.147.27.20,443,443,true,CDG,Europe,FR,Paris,163,8.76
158.101.181.118,443,443,true,FRA,Europe,DE,Frankfurt,304,8.75
192.9.158.188,443,443,true,SJC,North America,US,San Jose,372,8.74
144.24.166.97,443,443,true,FRA,Europe,DE,Frankfurt,207,8.73
141.147.98.174,443,443,true,FRA,Europe,DE,Frankfurt,332,8.70
158.101.205.134,443,443,true,FRA,Europe,DE,Frankfurt,201,8.68
138.3.249.65,443,443,true,FRA,Europe,DE,Frankfurt,447,8.51
143.47.185.147,443,443,true,FRA,Europe,DE,Frankfurt,236,8.47
158.180.35.214,443,443,true,FRA,Europe,DE,Frankfurt,271,8.46
141.147.35.15,443,443,true,FRA,Europe,DE,Frankfurt,265,8.45
84.8.151.78,443,443,true,FRA,Europe,DE,Frankfurt,287,8.45
79.72.66.154,443,443,true,FRA,Europe,DE,Frankfurt,222,8.43
132.226.214.239,443,443,true,FRA,Europe,DE,Frankfurt,215,8.42
150.230.122.24,443,443,true,FRA,Europe,DE,Frankfurt,346,8.40
138.2.145.213,443,443,true,FRA,Europe,DE,Frankfurt,329,8.39
158.180.34.57,443,443,true,FRA,Europe,DE,Frankfurt,187,8.38
158.180.15.218,443,443,true,FRA,Europe,DE,Frankfurt,238,8.31
79.72.73.116,443,443,true,FRA,Europe,DE,Frankfurt,232,8.29
158.180.50.240,443,443,true,FRA,Europe,DE,Frankfurt,287,8.28
141.147.101.215,443,443,true,FRA,Europe,DE,Frankfurt,377,8.21
141.147.64.236,443,443,true,FRA,Europe,DE,Frankfurt,377,8.19
152.67.149.123,443,443,true,FRA,Europe,DE,Frankfurt,295,8.18
141.148.227.14,443,443,true,FRA,Europe,DE,Frankfurt,291,8.16
130.162.231.78,443,443,true,FRA,Europe,DE,Frankfurt,258,8.15
130.162.165.173,443,443,true,FRA,Europe,DE,Frankfurt,380,8.14
