IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.88.63.160,443,443,true,FRA,Europe,DE,Frankfurt,295,9.23
35.202.158.120,443,443,true,ORD,North America,US,Chicago,349,9.16
34.105.233.161,443,443,true,LHR,Europe,GB,London,311,9.10
34.123.83.237,443,443,true,ORD,North America,US,Chicago,297,9.03
34.70.91.86,443,443,true,ORD,North America,US,Chicago,306,9.00
34.66.72.229,443,443,true,ORD,North America,US,Chicago,343,8.99
34.41.252.92,443,443,true,ORD,North America,US,Chicago,314,8.98
34.69.150.180,443,443,true,ORD,North America,US,Chicago,392,8.98
34.123.83.237,443,443,true,ORD,North America,US,Chicago,292,8.98
34.89.91.99,443,443,true,LHR,Europe,GB,London,259,8.92
34.69.150.180,443,443,true,ORD,North America,US,Chicago,283,8.89
34.70.91.86,443,443,true,ORD,North America,US,Chicago,314,8.84
34.66.72.229,443,443,true,ORD,North America,US,Chicago,238,8.83
34.89.30.78,443,443,true,LHR,Europe,GB,London,262,8.74
34.70.91.86,443,443,true,ORD,North America,US,Chicago,273,8.72
34.70.91.86,443,443,true,ORD,North America,US,Chicago,285,8.67
35.202.158.120,443,443,true,ORD,North America,US,Chicago,356,8.65
34.69.150.180,443,443,true,ORD,North America,US,Chicago,273,8.58
34.69.150.180,443,443,true,ORD,North America,US,Chicago,268,8.56
35.196.72.166,443,443,true,ATL,North America,US,Atlanta,334,8.33
35.247.31.90,443,443,true,SEA,North America,US,Seattle,373,8.24
35.226.250.3,2053,443,true,ORD,North America,US,Chicago,225,8.16
35.226.250.3,8443,443,true,ORD,North America,US,Chicago,258,8.10
34.90.238.89,443,443,true,AMS,Europe,NL,Amsterdam,323,7.54
34.90.238.89,443,443,true,AMS,Europe,NL,Amsterdam,321,7.48
34.105.140.105,443,443,true,LHR,Europe,GB,London,234,7.38
34.90.238.89,443,443,true,AMS,Europe,NL,Amsterdam,541,7.34
34.22.142.117,443,443,true,CDG,Europe,FR,Paris,309,7.33
34.22.142.117,443,443,true,CDG,Europe,FR,Paris,306,7.31
34.90.238.89,443,443,true,AMS,Europe,NL,Amsterdam,309,7.26
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,370,7.00
34.175.202.195,443,443,true,MAD,Europe,ES,Madrid,349,6.45
34.88.56.88,443,443,true,WAW,Europe,PL,Warsaw,271,6.38
34.88.56.88,443,443,true,WAW,Europe,PL,Warsaw,409,6.31
34.88.56.88,443,443,true,WAW,Europe,PL,Warsaw,413,6.13
35.228.36.82,443,443,true,ARN,Europe,SE,Stockholm,320,6.02
34.89.30.78,443,443,true,LHR,Europe,GB,London,339,5.97
34.89.30.78,443,443,true,LHR,Europe,GB,London,353,5.92
34.89.91.99,443,443,true,LHR,Europe,GB,London,389,5.48
34.105.189.25,443,443,true,LHR,Europe,GB,London,221,5.42
34.105.130.188,443,443,true,LHR,Europe,GB,London,227,5.39
