IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
96.0.147.114,443,80,false,MNL,Asia Pacific,PH,Manila,28,0.00
96.0.144.100,80,80,false,MNL,Asia Pacific,PH,Manila,30,0.00
96.0.148.93,80,80,false,MNL,Asia Pacific,PH,Manila,30,0.00
96.0.147.114,80,80,false,MNL,Asia Pacific,PH,Manila,31,0.00
16.162.177.179,2083,80,false,HKG,Asia Pacific,HK,Hong Kong,51,0.00
65.1.148.157,80,80,false,BOM,Asia Pacific,IN,Mumbai,61,0.00
16.162.172.91,2095,80,false,HKG,Asia Pacific,HK,Hong Kong,71,0.00
13.215.211.239,8080,80,false,SIN,Asia Pacific,SG,Singapore,72,0.00
13.215.80.221,2096,80,false,SIN,Asia Pacific,SG,Singapore,85,0.00
13.215.80.221,2082,80,false,SIN,Asia Pacific,SG,Singapore,86,0.00
13.237.223.44,2052,80,false,SYD,Oceania,AU,Sydney,92,0.00
13.55.237.163,2082,80,false,SYD,Oceania,AU,Sydney,95,0.00
13.55.237.163,2053,80,false,SYD,Oceania,AU,Sydney,98,0.00
13.55.238.1,2096,80,false,SYD,Oceania,AU,Sydney,100,0.00
13.215.80.221,2086,80,false,SIN,Asia Pacific,SG,Singapore,101,0.00
13.237.94.188,2052,80,false,SYD,Oceania,AU,Sydney,101,0.00
13.54.173.154,2086,80,false,SYD,Oceania,AU,Sydney,102,0.00
13.236.104.165,2086,80,false,SYD,Oceania,AU,Sydney,103,0.00
13.55.59.224,2052,80,false,SYD,Oceania,AU,Sydney,104,0.00
13.215.80.221,2095,80,false,SIN,Asia Pacific,SG,Singapore,104,0.00
13.55.237.163,2095,80,false,SYD,Oceania,AU,Sydney,105,0.00
13.55.237.163,2052,80,false,SYD,Oceania,AU,Sydney,106,0.00
13.55.59.224,2083,80,false,SYD,Oceania,AU,Sydney,106,0.00
13.55.238.1,2095,80,false,SYD,Oceania,AU,Sydney,108,0.00
13.238.235.196,2082,80,false,SYD,Oceania,AU,Sydney,108,0.00
13.55.237.163,2083,80,false,SYD,Oceania,AU,Sydney,110,0.00
15.165.63.136,2053,80,false,ICN,Asia Pacific,KR,Seoul,110,0.00
13.55.59.224,2086,80,false,SYD,Oceania,AU,Sydney,113,0.00
13.237.94.188,2083,80,false,SYD,Oceania,AU,Sydney,114,0.00
13.55.59.224,2095,80,false,SYD,Oceania,AU,Sydney,115,0.00
16.162.172.91,2053,80,false,HKG,Asia Pacific,HK,Hong Kong,118,0.00
13.237.94.188,2087,80,false,SYD,Oceania,AU,Sydney,119,0.00
16.162.177.179,2096,80,false,HKG,Asia Pacific,HK,Hong Kong,120,0.00
13.54.81.122,2052,80,false,SYD,Oceania,AU,Sydney,121,0.00
13.236.104.165,2053,80,false,SYD,Oceania,AU,Sydney,121,0.00
13.55.59.224,2053,80,false,SYD,Oceania,AU,Sydney,125,0.00
13.236.104.165,2087,80,false,SYD,Oceania,AU,Sydney,125,0.00
13.237.94.188,2095,80,false,SYD,Oceania,AU,Sydney,127,0.00
13.54.173.154,2087,80,false,SYD,Oceania,AU,Sydney,129,0.00
16.162.172.91,2083,80,false,HKG,Asia Pacific,HK,Hong Kong,129,0.00
16.162.177.179,2086,80,false,HKG,Asia Pacific,HK,Hong Kong,130,0.00
13.209.166.73,80,8080,false,ICN,Asia Pacific,KR,Seoul,131,0.00
13.54.173.154,2095,80,false,SYD,Oceania,AU,Sydney,133,0.00
16.162.172.91,2096,80,false,HKG,Asia Pacific,HK,Hong Kong,134,0.00
13.237.94.188,2096,80,false,SYD,Oceania,AU,Sydney,135,0.00
13.237.94.188,2053,80,false,SYD,Oceania,AU,Sydney,136,0.00
16.162.177.179,2052,80,false,HKG,Asia Pacific,HK,Hong Kong,137,0.00
16.162.177.179,2082,80,false,HKG,Asia Pacific,HK,Hong Kong,138,0.00
13.215.80.221,2083,80,false,SIN,Asia Pacific,SG,Singapore,138,0.00
15.165.63.136,2052,80,false,ICN,Asia Pacific,KR,Seoul,139,0.00
13.238.235.196,2086,80,false,SYD,Oceania,AU,Sydney,141,0.00
13.54.173.154,2083,80,false,SYD,Oceania,AU,Sydney,142,0.00
13.238.235.196,2083,80,false,SYD,Oceania,AU,Sydney,144,0.00
13.211.0.227,2083,80,false,SYD,Oceania,AU,Sydney,144,0.00
13.238.235.196,2096,80,false,SYD,Oceania,AU,Sydney,146,0.00
13.237.94.188,2082,80,false,SYD,Oceania,AU,Sydney,146,0.00
13.238.235.196,2095,80,false,SYD,Oceania,AU,Sydney,146,0.00
13.114.59.37,2052,80,false,NRT,Asia Pacific,JP,Tokyo,146,0.00
16.162.172.91,2086,80,false,HKG,Asia Pacific,HK,Hong Kong,152,0.00
13.54.173.154,2052,80,false,SYD,Oceania,AU,Sydney,153,0.00
13.114.59.37,2052,80,false,NRT,Asia Pacific,JP,Tokyo,154,0.00
13.238.235.196,2053,80,false,SYD,Oceania,AU,Sydney,155,0.00
16.78.119.130,443,80,false,CGK,Asia Pacific,ID,Jakarta,159,0.00
13.237.94.188,2086,80,false,SYD,Oceania,AU,Sydney,161,0.00
13.54.173.154,2082,80,false,SYD,Oceania,AU,Sydney,161,0.00
13.236.104.165,2052,80,false,SYD,Oceania,AU,Sydney,162,0.00
16.162.177.179,2087,80,false,HKG,Asia Pacific,HK,Hong Kong,163,0.00
13.55.59.224,2096,80,false,SYD,Oceania,AU,Sydney,164,0.00
13.55.59.224,2087,80,false,SYD,Oceania,AU,Sydney,164,0.00
13.55.238.1,2087,80,false,SYD,Oceania,AU,Sydney,166,0.00
13.55.237.163,2096,80,false,SYD,Oceania,AU,Sydney,168,0.00
13.36.63.124,2087,80,false,CDG,Europe,FR,Paris,169,0.00
13.36.63.124,2095,80,false,CDG,Europe,FR,Paris,170,0.00
13.236.104.165,2083,80,false,SYD,Oceania,AU,Sydney,170,0.00
15.236.116.199,2082,80,false,CDG,Europe,FR,Paris,170,0.00
13.36.63.124,2086,80,false,CDG,Europe,FR,Paris,170,0.00
15.236.116.199,2083,80,false,CDG,Europe,FR,Paris,170,0.00
13.54.173.154,2053,80,false,SYD,Oceania,AU,Sydney,170,0.00
13.36.162.145,2095,80,false,CDG,Europe,FR,Paris,170,0.00
15.188.168.174,2087,80,false,CDG,Europe,FR,Paris,170,0.00
13.36.253.240,2096,80,false,CDG,Europe,FR,Paris,171,0.00
13.36.162.145,2096,80,false,CDG,Europe,FR,Paris,172,0.00
13.36.63.124,2096,80,false,CDG,Europe,FR,Paris,172,0.00
13.36.162.145,2082,80,false,CDG,Europe,FR,Paris,172,0.00
13.36.24.111,2095,80,false,CDG,Europe,FR,Paris,172,0.00
176.116.21.136,2082,80,false,LHR,Europe,GB,London,172,0.00
15.236.116.199,2087,80,false,CDG,Europe,FR,Paris,173,0.00
13.36.162.145,2052,80,false,CDG,Europe,FR,Paris,173,0.00
13.36.24.111,2082,80,false,CDG,Europe,FR,Paris,173,0.00
13.40.164.7,80,80,false,LHR,Europe,GB,London,174,0.00
15.188.168.174,2096,80,false,CDG,Europe,FR,Paris,174,0.00
15.236.116.199,2052,80,false,CDG,Europe,FR,Paris,174,0.00
16.162.172.91,2052,80,false,HKG,Asia Pacific,HK,Hong Kong,174,0.00
13.36.253.240,2087,80,false,CDG,Europe,FR,Paris,174,0.00
15.188.168.174,2052,80,false,CDG,Europe,FR,Paris,174,0.00
13.36.253.240,2086,80,false,CDG,Europe,FR,Paris,175,0.00
13.36.162.145,2083,80,false,CDG,Europe,FR,Paris,175,0.00
176.116.21.74,2095,80,false,LHR,Europe,GB,London,175,0.00
176.116.21.220,2083,80,false,LHR,Europe,GB,London,175,0.00
176.116.21.186,2087,80,false,LHR,Europe,GB,London,176,0.00
176.116.21.93,2082,80,false,LHR,Europe,GB,London,176,0.00
16.162.177.179,2053,80,false,HKG,Asia Pacific,HK,Hong Kong,176,0.00
