IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
141.144.202.132,443,443,true,FRA,Europe,DE,Frankfurt,330,7.12
130.162.234.139,443,443,true,FRA,Europe,DE,Frankfurt,267,7.11
152.70.185.252,443,443,true,FRA,Europe,DE,Frankfurt,164,7.11
141.148.227.14,443,443,true,FRA,Europe,DE,Frankfurt,315,7.10
89.168.102.215,443,443,true,FRA,Europe,DE,Frankfurt,234,7.09
193.123.33.222,443,443,true,FRA,Europe,DE,Frankfurt,373,7.08
152.67.139.232,443,443,true,CDG,Europe,FR,Paris,366,7.07
164.152.26.70,2086,443,true,ORD,North America,US,Chicago,211,7.07
141.144.195.179,443,443,true,FRA,Europe,DE,Frankfurt,313,7.06
150.230.149.37,443,443,true,FRA,Europe,DE,Frankfurt,233,7.06
141.147.47.13,443,443,true,FRA,Europe,DE,Frankfurt,341,7.05
132.145.239.249,443,443,true,FRA,Europe,DE,Frankfurt,745,7.03
141.144.250.125,443,443,true,FRA,Europe,DE,Frankfurt,180,7.02
158.180.15.218,443,443,true,FRA,Europe,DE,Frankfurt,256,7.00
193.123.60.46,443,443,true,FRA,Europe,DE,Frankfurt,321,6.99
130.162.218.86,443,443,true,FRA,Europe,DE,Frankfurt,245,6.98
79.72.84.111,443,443,true,CDG,Europe,FR,Paris,265,6.97
84.235.171.209,443,443,true,FRA,Europe,DE,Frankfurt,229,6.96
143.47.181.195,443,443,true,CDG,Europe,FR,Paris,227,6.95
141.147.87.196,443,443,true,FRA,Europe,DE,Frankfurt,351,6.94
141.147.109.94,443,443,true,FRA,Europe,DE,Frankfurt,296,6.93
89.168.112.118,8443,443,true,FRA,Europe,DE,Frankfurt,277,6.92
130.162.230.116,443,443,true,FRA,Europe,DE,Frankfurt,310,6.91
158.101.221.107,443,443,true,FRA,Europe,DE,Frankfurt,322,6.91
79.76.103.5,443,443,true,CDG,Europe,FR,Paris,315,6.90
193.123.33.171,443,443,true,FRA,Europe,DE,Frankfurt,287,6.90
84.235.168.83,443,443,true,FRA,Europe,DE,Frankfurt,282,6.89
84.235.163.11,443,443,true,FRA,Europe,DE,Frankfurt,248,6.87
132.145.54.84,8443,443,true,LHR,Europe,GB,London,408,6.87
158.178.147.9,443,443,true,CDG,Europe,FR,Paris,291,6.86
141.147.35.15,443,443,true,FRA,Europe,DE,Frankfurt,216,6.85
141.148.235.102,443,443,true,FRA,Europe,DE,Frankfurt,330,6.85
141.147.25.81,443,443,true,FRA,Europe,DE,Frankfurt,289,6.83
150.230.124.16,443,443,true,FRA,Europe,DE,Frankfurt,242,6.83
79.76.114.244,443,443,true,FRA,Europe,DE,Frankfurt,252,6.82
193.123.56.210,443,443,true,FRA,Europe,DE,Frankfurt,311,6.82
138.2.153.15,443,443,true,FRA,Europe,DE,Frankfurt,275,6.81
143.47.185.147,443,443,true,FRA,Europe,DE,Frankfurt,237,6.81
130.162.248.169,443,443,true,FRA,Europe,DE,Frankfurt,294,6.80
129.159.245.206,443,443,true,FRA,Europe,DE,Frankfurt,158,6.78
130.61.107.238,8443,443,true,FRA,Europe,DE,Frankfurt,352,6.78
84.8.146.60,443,443,true,FRA,Europe,DE,Frankfurt,222,6.78
141.147.106.125,443,443,true,FRA,Europe,DE,Frankfurt,368,6.78
150.230.119.13,443,443,true,FRA,Europe,DE,Frankfurt,226,6.77
141.144.236.220,443,443,true,FRA,Europe,DE,Frankfurt,288,6.77
132.226.214.233,443,443,true,FRA,Europe,DE,Frankfurt,338,6.75
158.101.223.84,443,443,true,FRA,Europe,DE,Frankfurt,227,6.73
138.2.172.244,443,443,true,FRA,Europe,DE,Frankfurt,177,6.73
150.230.21.1,443,443,true,FRA,Europe,DE,Frankfurt,252,6.72
152.70.61.88,443,443,true,FRA,Europe,DE,Frankfurt,312,6.72
132.226.214.239,443,443,true,FRA,Europe,DE,Frankfurt,373,6.72
130.162.172.152,443,443,true,CDG,Europe,FR,Paris,289,6.69
140.238.214.247,443,443,true,MXP,Europe,IT,Milan,262,6.69
158.101.204.135,443,443,true,FRA,Europe,DE,Frankfurt,276,6.67
89.168.102.85,443,443,true,FRA,Europe,DE,Frankfurt,296,6.66
130.162.187.39,443,443,true,FRA,Europe,DE,Frankfurt,283,6.66
140.84.179.114,443,443,true,DFW,North America,US,Dallas,285,6.65
130.162.179.0,443,443,true,FRA,Europe,DE,Frankfurt,312,6.65
141.147.64.236,443,443,true,CDG,Europe,FR,Paris,348,6.63
193.123.35.68,443,443,true,FRA,Europe,DE,Frankfurt,381,6.63
130.162.250.180,8443,443,true,FRA,Europe,DE,Frankfurt,265,6.62
141.148.224.37,443,443,true,FRA,Europe,DE,Frankfurt,233,6.60
158.178.156.203,443,443,true,FRA,Europe,DE,Frankfurt,338,6.59
143.47.178.235,443,443,true,FRA,Europe,DE,Frankfurt,184,6.58
130.162.178.177,443,443,true,FRA,Europe,DE,Frankfurt,240,6.57
141.144.196.78,443,443,true,FRA,Europe,DE,Frankfurt,263,6.57
143.47.229.115,443,443,true,FRA,Europe,DE,Frankfurt,257,6.56
152.70.60.198,443,443,true,FRA,Europe,DE,Frankfurt,319,6.53
